,latitude,longitude,possible_illegal,room_type
1528,40.6872972538,-73.9457238424,True,Entire home/apt
1535,40.6822156887,-73.9528404578,False,Entire home/apt
1539,40.6918479841,-73.9587332077,False,Private room
1543,40.6811508357,-73.9507362784,False,Private room
1546,40.6913290895,-73.9318004083,True,Private room
1547,40.6823298784,-73.9100142942,False,Private room
1548,40.6871447225,-73.9577524456,False,Entire home/apt
1549,40.6914312904,-73.934356309,True,Private room
1551,40.6918218482,-73.9569575825,False,Entire home/apt
1554,40.6823950578,-73.9359663418,True,Entire home/apt
1555,40.6937965261,-73.9469754364,False,Private room
1560,40.6911314149,-73.9477991204,False,Entire home/apt
1568,40.6879542019,-73.9417287707,False,Private room
1570,40.6882531602,-73.9295112577,True,Private room
1571,40.6850752289,-73.9306525098,True,Entire home/apt
1572,40.6925989519,-73.9283385097,False,Entire home/apt
1573,40.6856619683,-73.9580797377,False,Entire home/apt
1579,40.6828397462,-73.9354583713,False,Entire home/apt
1580,40.6828538247,-73.9396121824,False,Entire home/apt
1581,40.6911424098,-73.9404851514,True,Private room
1585,40.6893721668,-73.95097279,False,Entire home/apt
1586,40.6850485805,-73.9568366897,False,Entire home/apt
1599,40.6950984944,-73.9560471041,False,Shared room
1600,40.69176062,-73.9476468075,False,Private room
1601,40.6878346238,-73.9408210231,False,Private room
1606,40.6823106376,-73.9416025204,False,Private room
1608,40.6845376936,-73.9317757836,True,Entire home/apt
1609,40.6879802135,-73.9567776039,False,Entire home/apt
1610,40.6838833946,-73.9442737772,False,Entire home/apt
1617,40.680299882,-73.951668507,False,Entire home/apt
1619,40.6911115718,-73.9421561701,False,Private room
1627,40.6829827107,-73.9450950822,False,Entire home/apt
1628,40.6859755095,-73.951320982,False,Private room
1633,40.6914347044,-73.9422873361,True,Entire home/apt
1636,40.6949280294,-73.9416057267,False,Private room
1638,40.6868312728,-73.9292186567,True,Entire home/apt
1644,40.6825049603,-73.9251944901,True,Entire home/apt
1646,40.6981117287,-73.9555692357,False,Entire home/apt
1650,40.6948329647,-73.9538287899,False,Entire home/apt
1656,40.6898550679,-73.9408223861,False,Private room
1661,40.6844766241,-73.9274683812,False,Entire home/apt
1671,40.683122499,-73.9250685473,False,Entire home/apt
1673,40.6926620685,-73.9283865643,False,Shared room
1680,40.6928767082,-73.9475012778,True,Private room
1681,40.6886350954,-73.9213026134,False,Entire home/apt
1682,40.6840321761,-73.9364091788,True,Private room
1683,40.694726752,-73.9343714338,False,Private room
1684,40.6805030859,-73.9377511605,True,Entire home/apt
1686,40.6790005114,-73.9203983594,False,Entire home/apt
1693,40.6828572558,-73.9305538315,False,Private room
1695,40.6928638763,-73.9603432032,True,Private room
1697,40.6888681465,-73.9501305488,False,Entire home/apt
1705,40.6924554293,-73.9505993957,True,Private room
1713,40.68481703,-73.956660552,False,Entire home/apt
1715,40.6871953304,-73.9380521645,True,Entire home/apt
1717,40.6881453992,-73.952640645,True,Entire home/apt
1719,40.690347798,-73.929810288,False,Entire home/apt
1722,40.6790059138,-73.9521806586,False,Entire home/apt
1725,40.6850665256,-73.9382449246,True,Entire home/apt
1726,40.6861973811,-73.9542029195,False,Entire home/apt
1727,40.6917435101,-73.9409176089,True,Private room
1732,40.6860824187,-73.9298745171,False,Private room
1733,40.6817606139,-73.9288338215,True,Entire home/apt
1734,40.6863109881,-73.9399272606,True,Entire home/apt
1735,40.6842585895,-73.9193886465,False,Entire home/apt
1737,40.6841834387,-73.942210644,False,Entire home/apt
1741,40.6823478522,-73.9463446541,False,Entire home/apt
1745,40.6857572837,-73.9341104144,False,Entire home/apt
1749,40.6798238438,-73.9134729574,True,Private room
1752,40.699577581,-73.9399936485,False,Private room
1753,40.6856759134,-73.9526621953,True,Entire home/apt
1758,40.6902304132,-73.9462769635,False,Private room
1760,40.6804108459,-73.9361196789,False,Entire home/apt
1762,40.6823810986,-73.9379512435,True,Entire home/apt
1768,40.6837848647,-73.9357283515,False,Entire home/apt
